x	y	z	
3.636040778907310766e+01 1.994838153438528394e+01 1.709723894066038241e+01
3.722759563933577454e+01 2.092062808797803797e+01 1.902745594267102547e+01
3.809558540686590788e+01 2.171142899362919465e+01 2.118801448166396995e+01
3.894455850911246131e+01 2.225471494123469185e+01 2.356761200781808796e+01
3.975215484706829017e+01 2.249116516418558120e+01 2.612908877185170553e+01
4.048598897113759421e+01 2.235396361976024693e+01 2.879156096018075317e+01
4.111442468925148574e+01 2.179785655424748825e+01 3.146647559116651394e+01
4.160842990950848730e+01 2.080476965504679043e+01 3.406159116150377031e+01
4.194157664017237153e+01 1.938380805066837809e+01 3.648097764621319072e+01
4.209004098967272256e+01 1.757125631073184735e+01 3.862501649864464071e+01
4.203444942227144310e+01 1.542527795431396243e+01 4.038340793985045707e+01
4.176986045176480644e+01 1.305581355544831723e+01 4.168531607192393551e+01
4.130207065544713885e+01 1.060402692502671407e+01 4.252811644638865118e+01
4.064513605191606871e+01 8.185107421597567878e+00 4.292403327397513380e+01
3.982139738745310353e+01 5.887115064135546305e+00 4.289881594169047929e+01
3.886148013602079487e+01 3.770980532031163790e+00 4.249173901282004095e+01
3.780409139246156514e+01 1.871114079269789343e+00 4.175607613508300631e+01
3.668170241427452538e+01 2.323364761757162889e-01 4.078403492376651940e+01
3.552417819041781399e+01 -1.123346644773791425e+00 3.966081559322062589e+01
3.436160601223301825e+01 -2.205616626250900048e+00 3.844899522226731392e+01
3.321897695793407479e+01 -3.038262913211585037e+00 3.720233030420793341e+01
3.211618721936034149e+01 -3.659155485992500623e+00 3.596573930954118481e+01
3.106816755517864692e+01 -4.106253027854818605e+00 3.476694031307599886e+01
3.008439561975806953e+01 -4.409247540991775516e+00 3.361773569668783779e+01
2.917077653252007963e+01 -4.598890044106927810e+00 3.252718879997207324e+01
2.833039568628852578e+01 -4.702496806178597666e+00 3.149950806285968241e+01
2.756351874729249829e+01 -4.743949346458943062e+00 3.053404702562056627e+01
2.686799137760091227e+01 -4.743581534285818080e+00 2.962749894069802181e+01
2.624000974427850252e+01 -4.716124830892628239e+00 2.877607004677753366e+01
2.567497868988430554e+01 -4.673102312229362454e+00 2.797476422446109723e+01
2.516803429986353180e+01 -4.624356369457230720e+00 2.721907607367484516e+01
2.471404431828424109e+01 -4.578049393930576194e+00 2.650499297338002336e+01
2.430760814783520019e+01 -4.540663777196662920e+00 2.582899508156977220e+01
2.394305684982734661e+01 -4.517001910995813496e+00 2.518805533527130081e+01
2.361444926092057628e+01 -4.510188712303926373e+00 2.457962072248797725e+01
2.331603634892123722e+01 -4.522115659283979738e+00 2.400105711399522335e+01
2.304364888816182244e+01 -4.554473469312751988e+00 2.345077256420896106e+01
2.279341612959219887e+01 -4.608666429408931009e+00 2.292778759045577885e+01
2.256141786900456481e+01 -4.685768888848589775e+00 2.243130113116038871e+01
2.234368444703410006e+01 -4.786525259164950086e+00 2.196069054584700453e+01
2.213619674915797830e+01 -4.911350014148712972e+00 2.151551161513724608e+01
2.193488684687716272e+01 -5.060327774714733273e+00 2.109549892455660469e+01
2.173647750935069212e+01 -5.233509661873274155e+00 2.070098056157315725e+01
2.153902510848548246e+01 -5.431537192518362644e+00 2.033296781956533295e+01
2.134048290734826736e+01 -5.655010768963657952e+00 1.999254849371105891e+01
2.113875280459632933e+01 -5.904349621309642693e+00 1.968099338534779719e+01
2.093168533447806468e+01 -6.179791807442891916e+00 1.939975630197342582e+01
2.071707966683211311e+01 -6.481394213037139806e+00 1.915047405724490304e+01
2.049268360708779824e+01 -6.809032551552832047e+00 1.893496647097902397e+01
2.025653553357118852e+01 -7.162318684760960785e+00 1.875530782331426849e+01
2.000759660635159776e+01 -7.541510950645626821e+00 1.861443429795455273e+01
