x	z
7.359954875318632794e-01 1.541350053445368395e+01
7.579885215892209205e-01 1.501504065717456626e+01
7.862711425542201482e-01 1.462798115307021085e+01
8.208811373320797911e-01 1.425217525184925726e+01
8.618974589051495716e-01 1.388752008814643446e+01
9.094402263329131042e-01 1.353395670152252528e+01
9.636707247519871178e-01 1.319147003646438066e+01
1.024792738265100089e+00 1.286008991826828129e+01
1.093223323048443163e+00 1.253996275889248935e+01
1.169510878373451801e+00 1.223119962528951454e+01
1.254228350370850009e+00 1.193397854118637547e+01
1.348046211064978683e+00 1.164863755187665184e+01
1.451732458373794721e+00 1.137567472422048809e+01
1.566152616108872575e+00 1.111574814664458444e+01
1.692269733975402257e+00 1.086967592914220759e+01
1.831144387572190668e+00 1.063843620327318007e+01
1.983978037735699917e+00 1.042329030067678097e+01
2.152554650578466955e+00 1.022684110119638135e+01
2.338190809404228965e+00 1.005006543985590817e+01
2.542177199034695079e+00 9.894230448388038113e+00
2.766007604854748614e+00 9.761618415124980075e+00
3.011378912812443964e+00 9.655526784998475165e+00
3.280191109419009265e+00 9.580268159539802042e+00
3.574547281748844618e+00 9.541170296879769808e+00
3.896753617439522088e+00 9.544576111748725111e+00
4.249319404691789259e+00 9.597843675476545044e+00
4.634957032269559463e+00 9.709346215992642470e+00
5.056581989499917107e+00 9.888472117825960694e+00
5.517312866273142546e+00 1.014562492210498590e+01
6.018332393408273084e+00 1.049110367685673495e+01
6.559878556218971646e+00 1.093980475776606198e+01
7.145297306020355954e+00 1.151160198260639156e+01
7.775945424254315341e+00 1.222502658158155064e+01
8.451089239134541131e+00 1.309717506106763096e+01
9.167904625646523087e+00 1.414370920361297834e+01
9.921477005547551187e+00 1.537885606793820692e+01
1.070480134736671651e+01 1.681540798893619382e+01
1.150878216640490947e+01 1.846472257767207026e+01
1.232225064175373141e+01 2.033547271944107138e+01
1.312955177695768683e+01 2.241373604656593699e+01
1.390854078887059941e+01 2.466643346763717659e+01
1.463541608293090590e+01 2.704789045978943918e+01
1.528524703012379504e+01 2.949869807585177739e+01
1.583197396698120585e+01 3.194571294434765463e+01
1.624840819558181693e+01 3.430205726949493794e+01
1.650773660156229639e+01 3.646605078514815546e+01
1.659302889700156669e+01 3.833848173192275510e+01
1.649208316334797786e+01 3.985909074649395478e+01
1.620153883372478987e+01 4.098919610801096525e+01
1.572778055248710949e+01 4.170958757962075936e+01
1.508693817522191871e+01 4.202052640846808629e+01
1.430488676874804810e+01 4.194174532569546443e+01
1.341184312340222284e+01 4.151776306103928249e+01
1.242857193982142405e+01 4.082350110457177550e+01
1.138607705593210184e+01 3.992370460212575267e+01
