x y z
6.258022765665122687e-04 1.521853893470235012e-04 4.147888820865346774e-07
6.187392181422876397e-04 1.994496240423137081e-04 4.226183725979497593e-07
6.081357018663960477e-04 2.465076920587106618e-04 4.305950741286462283e-07
5.939833502710709047e-04 2.930965299505811539e-04 4.387217962683177010e-07
5.762931744971812103e-04 3.389507064875415089e-04 4.470014044004421083e-07
5.550958774278762567e-04 3.838038400275271367e-04 4.554368207572994541e-07
5.304420540727781573e-04 4.273900475723628098e-04 4.640310254928546098e-07
5.024022861986721751e-04 4.694454181223987129e-04 4.727870577737663496e-07
4.710671287282272774e-04 5.097095026782746648e-04 4.817080168887903412e-07
4.365469859768757242e-04 5.479268130064012541e-04 4.907970633768462960e-07
3.989718763670582671e-04 5.838483210921932912e-04 5.000574201740240875e-07
3.584910848458315938e-04 6.172329510532140488e-04 5.094923737798004716e-07
3.152727028334696051e-04 6.478490551747622577e-04 5.191052754427534457e-07
2.695030561441860185e-04 6.754758656643421091e-04 5.288995423660485282e-07
2.213860219423209098e-04 6.999049137000977862e-04 5.388786589329871187e-07
1.711422364250298584e-04 7.209414073725714479e-04 5.490461779529048248e-07
1.190081955524305139e-04 7.384055601896988025e-04 5.594057219277083823e-07
6.523525177485825369e-05 7.521338619323172849e-04 5.699609843393513350e-07
1.008851033097747099e-05 7.619802838117533880e-04 5.807157309585384788e-07
-4.615437069353839794e-05 7.678174100922992686e-04 5.916738011749626235e-07
-1.032044717526307983e-04 7.695374885992530044e-04 6.028391093493849582e-07
-1.607629892883318673e-04 7.670533928371134954e-04 6.142156461878475410e-07
-2.185226932868836235e-04 7.602994887917483751e-04 6.258074801383474075e-07
-2.761694584394775061e-04 7.492323998837198450e-04 6.376187588102726793e-07
-3.333838618811608176e-04 7.338316639762282757e-04 6.496537104169169309e-07
-3.898428399866846455e-04 7.141002768186769864e-04 6.619166452413948540e-07
-4.452213962391831596e-04 6.900651168238498704e-04 6.744119571262814095e-07
-4.991943517595867413e-04 6.617772466310820967e-04 6.871441249872900908e-07
-5.514381296947424823e-04 6.293120874972099252e-04 7.001177143513316552e-07
-6.016325643128835879e-04 5.927694631790457252e-04 7.133373789192700065e-07
-6.494627253492741984e-04 5.522735106227829238e-04 7.268078621537198649e-07
-6.946207478848440749e-04 5.079724554541506119e-04 7.405339988922191093e-07
-7.368076578287066766e-04 4.600382509651648982e-04 7.545207169861125932e-07
-7.757351829137689283e-04 4.086660800154975578e-04 7.687730389654915407e-07
-8.111275390048814466e-04 3.540737200053501506e-04 7.832960837305426881e-07
-8.427231814627499660e-04 2.965007718285765257e-04 7.980950682696406924e-07
-8.702765113055020750e-04 2.362077544757421055e-04 8.131753094045482394e-07
-8.935595259643287725e-04 1.734750677229402133e-04 8.285422255630746320e-07
-9.123634045407738374e-04 1.086018261094875655e-04 8.442013385795472336e-07
-9.265000176415526300e-04 4.190456817182031931e-05 8.601582755234640158e-07
-9.358033520923103024e-04 -2.628415434208624874e-05 8.764187705566830700e-07
-9.401308411144211272e-04 -9.561730180786991769e-05 8.929886668195262233e-07
-9.393645908882747655e-04 -1.657349804098486382e-04 9.098739183461488074e-07
-9.334124948217848924e-04 -2.362661772665478532e-04 9.270805920095763335e-07
-9.222092272929220116e-04 -3.068305894016197023e-04 9.446148694967535558e-07
-9.057171091386289090e-04 -3.770405383079837277e-04 9.624830493140092177e-07
-8.839268377176798860e-04 -4.465029612283939612e-04 9.806915488233022929e-07
-8.568580749799990445e-04 -5.148214696875203725e-04 9.992469063096481445e-07
-8.245598876272000307e-04 -5.815984652630348155e-04 1.018155783080098462e-06
-7.871110341460937822e-04 -6.464373020797492672e-04 1.037424965594678161e-06
-7.446200942356911729e-04 -7.089444850551437092e-04 1.057061367629672381e-06
-6.972254369255414218e-04 -7.687318925201638235e-04 1.077072032473644739e-06
-6.450950244956604263e-04 -8.254190114890485154e-04 1.097464135156614803e-06
-5.884260501520841664e-04 -8.786351735590786820e-04 1.118244984712775539e-06
-5.274444082831688434e-04 -9.280217791883850487e-04 1.139422026477157918e-06
-4.624039970160102354e-04 -9.732344979296050046e-04 1.161002844416672792e-06
-3.935858537053776645e-04 -1.013945432091354053e-03 1.182995163495913513e-06
-3.212971249145692046e-04 -1.049845231260204768e-03 1.205406852078161244e-06
-2.458698733841062616e-04 -1.080645145144358858e-03 1.228245924361988729e-06
-1.676597254249750967e-04 -1.106079002297900848e-03 1.251520542853897918e-06
-8.704436311333349800e-05 -1.125905102452071961e-03 1.275239020877416411e-06
-4.421866598100029645e-06 -1.139908010417883810e-03 1.299409825119069500e-06
7.979108724373176569e-05 -1.147900239832769839e-03 1.324041578211667177e-06
1.651611626619762141e-04 -1.149723815402412539e-03 1.349143061355336630e-06
2.512404313704603618e-04 -1.145251702736793361e-03 1.374723216976739404e-06
3.375685584797481829e-04 -1.134389095395760272e-03 1.400791151426906278e-06
4.236750983115746320e-04 -1.117074549342529383e-03 1.427356137718137515e-06
5.090818895912436462e-04 -1.093280955651668770e-03 1.454427618300417198e-06
5.933055387665821549e-04 -1.063016343028963702e-03 1.482015207877776176e-06
6.758599795014251814e-04 -1.026324502471519370e-03 1.510128696265078608e-06
7.562590957427724452e-04 -9.832854272244595604e-04 1.538778051285664075e-06
8.340193951684661718e-04 -9.340155620722466641e-04 1.567973421710308806e-06
9.086627192906706132e-04 -8.786678569341590172e-04 1.597725140237983753e-06
9.797189760236987930e-04 -8.174316207108200645e-04 1.628043726518842966e-06
1.046728880126848596e-03 -7.505321723472791785e-04 1.658939890219932716e-06
1.109246686607232805e-03 -6.782302871333364654e-04 1.690424534134092305e-06
1.166842901917361291e-03 -6.008214373485374574e-04 1.722508757332491482e-06
1.219106957610483063e-03 -5.186348274721148304e-04 1.755203858361318381e-06
1.265649831025706783e-03 -4.320322253115669296e-04 1.788521338483064809e-06
1.306106597566923265e-03 -3.414065915518727434e-04 1.822472904962912440e-06
1.340138899216234943e-03 -2.471805113842529249e-04 1.857070474400682600e-06
1.367437314085200332e-03 -1.498044330329661924e-04 1.892326176108875448e-06
1.387723612056483832e-03 -4.975471915451782224e-05 1.928252355537239426e-06
1.400752881904969742e-03 5.246848177072541147e-05 1.964861577744402924e-06
1.406315515710782451e-03 1.563435358055160617e-04 2.002166630917054559e-06
1.404239036886434280e-03 2.613297863264328180e-04 2.040180529937159749e-06
1.394389758735440146e-03 3.668701687674543735e-04 2.078916519997739176e-06
1.376674261138529677e-03 4.723939658657576421e-04 2.118388080267694892e-06
1.351040673724105768e-03 5.773196909419563930e-04 2.158608927606201419e-06
1.317479754719175482e-03 6.810580857990602499e-04 2.199593020327178508e-06
1.276025755592620232e-03 7.830152189316862263e-04 2.241354562014353788e-06
1.226757062590897287e-03 8.825956689055167127e-04 2.283908005387423113e-06
1.169796607322931168e-03 9.792057770027829972e-04 2.327268056219864232e-06
1.105312039671793416e-03 1.072256952537717703e-03 2.371449677308893821e-06
1.033515657490699513e-03 1.161169013632237573e-03 2.416468092498095977e-06
9.546640887746497741e-04 1.245373545711226781e-03 2.462338790753285474e-06
8.690577232809809085e-04 1.324317259533295014e-03 2.509077530292098735e-06
7.770398918959443455e-04 1.397465330221186845e-03 2.556700342767871988e-06
6.789957934038095026e-04 1.464304698499693455e-03 2.605223537508347456e-06
5.753511697031390070e-04 1.524347315191311968e-03 2.654663705809730591e-06
4.665707319245242712e-04 1.577133309964024810e-03 2.705037725286667171e-06
3.531563413279758981e-04 1.622234065373585193e-03 2.756362764278670889e-06
2.356449502887934247e-04 1.659255177396457871e-03 2.808656286313558818e-06
1.146063101100748061e-04 1.687839283910468275e-03 2.861936054628449103e-06
-9.359546179675054593e-06 1.707668742948761182e-03 2.916220136748891383e-06
-1.356250364821355667e-04 1.718468143029099103e-03 2.971526909126660586e-06
-2.635379667984374713e-04 1.720006628444363007e-03 3.027875061836799422e-06
-3.924246606281024024e-04 1.712100023090179762e-03 3.085283603334475785e-06
-5.215932670106210702e-04 1.694612737200276373e-03 3.143771865272225995e-06
-6.503372323693642739e-04 1.667459442257074754e-03 3.203359507378118761e-06
-7.779389201217243007e-04 1.630606500341312591e-03 3.264066522395497168e-06
-9.036733608888248117e-04 1.584073135276486488e-03 3.325913241084782346e-06
-1.026812115080683041e-03 1.527932334107607974e-03 3.388920337287988918e-06
-1.146627228655406781e-03 1.462311468724269677e-03 3.453108833056509575e-06
-1.262395654538530938e-03 1.387393060239259764e-03 3.518502292197824244e-06
-1.373409321907193307e-03 1.303420204513549771e-03 3.585157395035720362e-06
-1.478969666987303613e-03 1.210684379202223940e-03 3.653107941912810689e-06
-1.578392521220832630e-03 1.109528245591760286e-03 3.722375878811786305e-06
-1.671014253690882717e-03 1.000347417161568699e-03 3.792983591059919346e-06
-1.756195841614236960e-03 8.835893155309482118e-04 3.864953912623587296e-06
-1.833326884921057795e-03 7.597517151203884945e-04 3.938310135602721619e-06
-1.901829541207930747e-03 6.293809785148259377e-04 4.013076019927448665e-06
-1.961162357341021158e-03 4.930699863180655835e-04 4.089275803259088283e-06
-2.010823974113497021e-03 3.514557671006405246e-04 4.166934211097897083e-06
-2.050356680626788577e-03 2.052168348578417209e-04 4.246076467099972933e-06
-2.079349795469655291e-03 5.507024320005469889e-05 4.326728303605809271e-06
-2.097442852312510642e-03 -9.823163271700596040e-05 4.408915972383090307e-06
-2.104328568216109075e-03 -2.539045737594610038e-04 4.492666255586432543e-06
-2.099755573771955753e-03 -4.111362394029597928e-04 4.578006476936803436e-06
-2.083530885144368062e-03 -5.690901192016722563e-04 4.664964513123447148e-06
-2.055522099167594006e-03 -7.269096953989352423e-04 4.753568805431326039e-06
-2.015659293861933425e-03 -8.837227974115956100e-04 4.843848371596964602e-06
-1.963936618065488440e-03 -1.038646127474339518e-03 4.935832817895950968e-06
-1.900413555327484403e-03 -1.190789935375954900e-03 5.029552351465119913e-06
-1.825215848768685584e-03 -1.339262818966625119e-03 5.125037792862824113e-06
-1.738536075277241199e-03 -1.483176625972158335e-03 5.222320588870549648e-06
-1.640633859166606848e-03 -1.621651431626250578e-03 5.321432825539381637e-06
-1.531835717267598452e-03 -1.753820565733004615e-03 5.422407241484774179e-06
-1.412534529350010018e-03 -1.878835662006466496e-03 5.525277241433331242e-06
-1.283188629761302995e-03 -1.995871701907838899e-03 5.630076910025183124e-06
-1.144320518219987207e-03 -2.104132024721012007e-03 5.736841025875804880e-06
-9.965151897994039588e-04 -2.202853275277361512e-03 5.845605075901140856e-06
-8.404180862723276092e-04 -2.291310260566267309e-03 5.956405269909898676e-06
-6.767326731466464813e-04 -2.368820686452015236e-03 6.069278555467202080e-06
-5.062176488961717081e-04 -2.434749745862927351e-03 6.184262633033558280e-06
-3.296837950655108181e-04 -2.488514530127285650e-03 6.301395971383423256e-06
-1.479904780926479609e-04 -2.529588235603091005e-03 6.420717823307649310e-06
3.795818416549573139e-05 -2.557504138385514793e-03 6.542268241604175382e-06
2.272174761127014999e-04 -2.571859310675908734e-03 6.666088095361387582e-06
4.188065411477436689e-04 -2.572318053357832562e-03 6.792219086538766260e-06
6.117131223033670353e-04 -2.558615020445871319e-03 6.920703766849362263e-06
8.048985657131412256e-04 -2.530558012348615212e-03 7.051585554948846593e-06
9.973030639858812118e-04 -2.488030416313337986e-03 7.184908753935949711e-06
1.187851114819547717e-03 -2.430993273991334178e-03 7.320718569169148218e-06
1.375457168545375641e-03 -2.359486957773165080e-03 7.459061126404526940e-06
1.559031436769675984e-03 -2.273632439385017776e-03 7.599983490259986716e-06
1.737485832884942205e-03 -2.173632136203104345e-03 7.743533683010753039e-06
1.909740013964535523e-03 -2.059770322823473079e-03 7.889760703721580278e-06
2.074727492444414841e-03 -1.932413097610380512e-03 8.038714547720834507e-06
2.231401785040472777e-03 -1.792007896227047195e-03 8.190446226421897944e-06
2.378742565558480352e-03 -1.639082546517289362e-03 8.345007787497343989e-06
2.515761787632834427e-03 -1.474243861543245030e-03 8.502452335411493593e-06
2.641509742985959867e-03 -1.298175770081675881e-03 8.662834052316902716e-06
2.755081020538536953e-03 -1.111636986425393455e-03 8.826208219320596615e-06
2.855620331625367912e-03 -9.154582239150181079e-04 8.992631238125814159e-06
2.942328166686754808e-03 -7.105389592252806192e-04 9.162160653055182946e-06
3.014466249113041327e-03 -4.978437570359044335e-04 9.334855173461273071e-06
3.071362752422163427e-03 -2.783981673151131667e-04 9.510774696530660389e-06
3.112417247646928273e-03 -5.328421002053531893e-05 9.689980330487594500e-06
3.137105348700171010e-03 1.763645354380417038e-04 9.872534418203498865e-06
3.144983024569907807e-03 4.093682161402168503e-04 1.005850056121870999e-05
3.135690548470726306e-03 6.445063447430565695e-04 1.024794364418270171e-05
3.108956055538103155e-03 8.805237671139199383e-04 1.044092985971953020e-05
3.064598682294264465e-03 1.116136931655362661e-03 1.063752673372478968e-05
3.002531262931871711e-03 1.350040431327045962e-03 1.083780315110097725e-05
2.922762559448132541e-03 1.580913787347694617e-03 1.104182938193782943e-05
2.825399004809171864e-03 1.807428441672866495e-03 1.124967710814466605e-05
2.710645940623545008e-03 2.028254923603656397e-03 1.146141945054137868e-05
2.578808333244760054e-03 2.242070154299982167e-03 1.167713099641536184e-05
2.430290954795034583e-03 2.447564851560159790e-03 1.189688782755126637e-05
2.265598018293966346e-03 2.643450995998079898e-03 1.212076754874078841e-05
2.085332258874418067e-03 2.828469318708886661e-03 1.234884931677979377e-05
1.890193455959914871e-03 3.001396769673485895e-03 1.258121386996012301e-05
1.680976394249410937e-03 3.161053925519076782e-03 1.281794355806331778e-05
1.458568264391332976e-03 3.306312294834632022e-03 1.305912237286419837e-05
1.223945507314708192e-03 3.436101479042118906e-03 1.330483597915129558e-05
9.781701093040313152e-04 3.549416146852393643e-03 1.355517174627235502e-05
7.223853580410126126e-04 3.645322780591635486e-03 1.381021878021237432e-05
4.578110729731443710e-04 3.722966153173470731e-03 1.407006795621209153e-05
1.857383264894984847e-04 3.781575495214620306e-03 1.433481195193482220e-05
-9.247632452938066381e-05 3.820470312748340969e-03 1.460454528118986999e-05
-3.754170741844025587e-04 3.839065817178839799e-03 1.487936432822021204e-05
-6.616155444835711318e-04 3.836877930539459112e-03 1.515936738256305638e-05
-9.495578752680702232e-04 3.813527830763487666e-03 1.544465467449128104e-05
-1.237692195907416680e-03 3.768746003544696990e-03 1.573532841104424707e-05
-1.524436444872548195e-03 3.702375769448662708e-03 1.603149281265622896e-05
-1.808186500772462164e-03 3.614376257228301033e-03 1.633325415039142396e-05
-2.087324586068152119e-03 3.504824796789269246e-03 1.664072078379352787e-05
-2.360227902474492170e-03 3.373918707932954068e-03 1.695400319935911324e-05
-2.625277455039525670e-03 3.221976463865702453e-03 1.727321404964334491e-05
-2.880867020066667575e-03 3.049438211490603911e-03 1.759846819300681466e-05
-3.125412210432021790e-03 2.856865633678833897e-03 1.792988273401274139e-05
-3.357359590457931111e-03 2.644941142037653386e-03 1.826757706448329163e-05
-3.575195791348225426e-03 2.414466392135151268e-03 1.861167290522419893e-05
-3.777456577279375127e-03 2.166360116692470777e-03 1.896229434842702991e-05
-3.962735811585297446e-03 1.901655275894559944e-03 1.931956790075819750e-05
-4.129694272079770766e-03 1.621495527682924841e-03 1.968362252714419801e-05
-4.277068264436498929e-03 1.327131024659096437e-03 2.005458969526255206e-05
-4.403677982697899555e-03 1.019913548027310927e-03 2.043260342074790210e-05
